【Class:500  Car No:64  Modulo Nakajima Racing HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,A,03'58.714,01'54.663,00'30.113,00'56.033,00'37.905,10,35,09:33'58.714,00:03'58.714,217.96
2,,,A,06'14.702,04'43.612,00'23.237,00'44.558,00'23.295,11,37,09:40'13.416,00:10'13.416,266.18
3,,,A,01'54.036,00'32.044,00'19.031,00'41.397,00'21.564,7,7,09:42'07.452,00:12'07.452,268.62
4,,,A,01'48.934,00'29.947,00'17.826,00'40.541,00'20.620,8,8,09:43'56.386,00:13'56.386,270.27
5,,,A,01'47.446,00'29.106,00'17.793,00'39.765,00'20.782,5,5,09:45'43.832,00:15'43.832,269.44
6,BL,,A,01'46.717,00'29.094,00'17.613,00'39.766,00'20.244,2,2,09:47'30.549,00:17'30.549,271.11
7,,P,A,02'01.631,00'31.803,00'20.261,00'41.077,00'28.490,8,14,09:49'32.180,00:19'32.180,270.27
8,,,A,08'19.820,06'32.379,00'27.185,00'54.059,00'26.197,10,35,09:57'52.000,00:27'52.000,261.42
9,,,A,02'06.517,00'36.137,00'22.683,00'44.723,00'22.974,9,23,09:59'58.517,00:29'58.517,265.37
10,,,A,01'55.519,00'32.624,00'19.845,00'41.547,00'21.503,2,2,10:01'54.036,00:31'54.036,268.62
11,,,A,01'51.371,00'31.841,00'18.537,00'40.409,00'20.584,1,1,10:03'45.407,00:33'45.407,268.62
12,,,A,01'47.253,00'29.289,00'17.989,00'39.818,00'20.157,2,2,10:05'32.660,00:35'32.660,270.27
13,,,A,01'54.045,00'32.753,00'18.966,00'40.529,00'21.797,3,3,10:07'26.705,00:37'26.705,268.62
14,,P,A,02'00.877,00'32.422,00'20.637,00'41.177,00'26.641,3,7,10:09'27.582,00:39'27.582,268.62
15,,,A,07'50.291,06'25.130,00'20.654,00'42.738,00'21.769,5,20,10:17'17.873,00:47'17.873,266.18
16,,,A,01'53.033,00'32.225,00'18.995,00'40.820,00'20.993,1,1,10:19'10.906,00:49'10.906,267.8
17,,,A,01'51.135,00'30.406,00'18.572,00'41.147,00'21.010,3,3,10:21'02.041,00:51'02.041,268.62
18,,P,A,02'07.516,00'30.829,00'18.257,00'42.319,00'36.111,4,9,10:23'09.557,00:53'09.557,232.38
19,,,B,07'19.334,05'54.969,00'20.220,00'42.217,00'21.928,6,18,10:30'28.891,01:00'28.891,267.8
20,,,B,01'53.180,00'31.202,00'19.216,00'41.532,00'21.230,4,4,10:32'22.071,01:02'22.071,269.44
21,,,B,01'52.554,00'31.356,00'19.335,00'40.965,00'20.898,5,5,10:34'14.625,01:04'14.625,266.99
22,,,B,01'51.015,00'30.551,00'18.780,00'40.923,00'20.761,3,3,10:36'05.640,01:06'05.640,267.8
23,,,B,01'51.373,00'30.722,00'18.774,00'41.105,00'20.772,1,1,10:37'57.013,01:07'57.013,267.8
24,,,B,01'51.104,00'30.476,00'18.891,00'40.941,00'20.796,2,2,10:39'48.117,01:09'48.117,266.99
25,,P,B,01'59.053,00'31.533,00'19.182,00'41.106,00'27.232,3,3,10:41'47.170,01:11'47.170,269.44
26,,,B,04'51.852,03'22.066,00'22.307,00'44.654,00'22.825,3,7,10:46'39.022,01:16'39.022,263.78
27,,,B,01'56.702,00'32.232,00'19.937,00'41.826,00'22.707,3,3,10:48'35.724,01:18'35.724,265.37
28,,,B,01'52.619,00'31.032,00'19.091,00'41.096,00'21.400,2,2,10:50'28.343,01:20'28.343,266.18
29,,,B,01'51.264,00'30.403,00'19.229,00'40.852,00'20.780,1,1,10:52'19.607,01:22'19.607,266.99
30,,,B,01'51.542,00'30.324,00'19.384,00'41.123,00'20.711,2,2,10:54'11.149,01:24'11.149,266.18
31,,,B,01'51.184,00'30.502,00'18.857,00'41.066,00'20.759,3,3,10:56'02.333,01:26'02.333,268.62
32,,P,B,02'08.210,00'33.675,00'22.414,00'42.504,00'29.617,3,3,10:58'10.543,01:28'10.543,267.8
33,,,B,10'12.129,08'27.796,00'27.056,00'51.703,00'25.574,3,13,11:08'22.672,01:38'22.672,256.09
34,,,B,02'01.849,00'34.975,00'21.008,00'43.330,00'22.536,1,4,11:10'24.521,01:40'24.521,263.78
35,,,B,01'52.162,00'31.501,00'18.942,00'40.910,00'20.809,1,1,11:12'16.683,01:42'16.683,265.37
36,,P,B,02'27.684,00'29.272,00'17.872,00'53.201,00'47.339,3,5,11:14'44.367,01:44'44.367,127.3
