【Class:300  Car No:65  K2 R&D LEON RACING Mercedes  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,03'08.737,01'23.728,00'26.343,00'51.601,00'27.065,11,14,09:33'08.737,00:03'08.737,236.76
2,,,A,02'08.459,00'36.329,00'22.203,00'46.544,00'23.383,15,22,09:35'17.196,00:05'17.196,243.32
3,,,A,02'01.205,00'33.999,00'20.610,00'44.141,00'22.455,11,26,09:37'18.401,00:07'18.401,244.67
4,BL,,A,01'58.948,00'32.989,00'19.914,00'44.014,00'22.031,8,22,09:39'17.349,00:09'17.349,243.99
5,,,A,02'01.624,00'32.900,00'20.200,00'46.103,00'22.421,13,28,09:41'18.973,00:11'18.973,244.67
6,,,A,01'59.930,00'33.197,00'20.317,00'44.287,00'22.129,4,13,09:43'18.903,00:13'18.903,244.67
7,,P,A,02'07.417,00'33.520,00'20.466,00'44.537,00'28.894,12,22,09:45'26.320,00:15'26.320,243.99
8,,,A,04'57.302,03'23.083,00'23.370,00'46.919,00'23.930,20,31,09:50'23.622,00:20'23.622,241.31
9,,,A,02'03.454,00'34.627,00'20.918,00'44.965,00'22.944,13,25,09:52'27.076,00:22'27.076,242.65
10,,,A,02'00.876,00'33.527,00'20.413,00'44.453,00'22.483,6,14,09:54'27.952,00:24'27.952,242.65
11,,,A,01'59.501,00'33.210,00'20.187,00'44.058,00'22.046,3,12,09:56'27.453,00:26'27.453,243.32
12,,,A,01'59.442,00'33.147,00'20.172,00'44.090,00'22.033,1,10,09:58'26.895,00:28'26.895,243.32
13,,,A,02'00.336,00'33.251,00'20.321,00'44.510,00'22.254,7,20,10:00'27.231,00:30'27.231,243.99
14,,P,A,02'07.203,00'33.442,00'20.452,00'44.490,00'28.819,15,26,10:02'34.434,00:32'34.434,243.32
15,,,A,04'47.457,03'17.024,00'21.013,00'46.621,00'22.799,20,31,10:07'21.891,00:37'21.891,241.98
16,,P,A,02'08.448,00'33.978,00'20.506,00'45.294,00'28.670,13,20,10:09'30.339,00:39'30.339,241.98
17,,,A,04'52.229,03'23.723,00'20.815,00'45.017,00'22.674,14,23,10:14'22.568,00:44'22.568,240.65
18,,P,A,02'07.455,00'33.626,00'20.514,00'44.646,00'28.669,6,11,10:16'30.023,00:46'30.023,242.65
19,,,A,04'53.632,03'18.022,00'20.880,00'50.853,00'23.877,8,11,10:21'23.655,00:51'23.655,196.95
20,,P,A,02'08.346,00'33.835,00'20.640,00'44.901,00'28.970,3,5,10:23'32.001,00:53'32.001,242.65
21,,,B,05'29.834,03'59.801,00'21.608,00'45.420,00'23.005,1,3,10:29'01.835,00:59'01.835,241.31
22,,,B,02'03.065,00'34.810,00'20.747,00'44.916,00'22.592,1,4,10:31'04.900,01:01'04.900,243.32
23,,,B,02'02.699,00'34.175,00'20.589,00'45.021,00'22.914,1,2,10:33'07.599,01:03'07.599,245.36
24,,,B,02'01.881,00'34.029,00'20.624,00'44.865,00'22.363,1,2,10:35'09.480,01:05'09.480,242.65
25,,,B,02'02.071,00'33.960,00'20.777,00'44.827,00'22.507,1,2,10:37'11.551,01:07'11.551,243.32
26,,,B,02'02.079,00'34.020,00'20.609,00'45.045,00'22.405,1,2,10:39'13.630,01:09'13.630,243.32
27,,P,B,02'10.276,00'34.069,00'21.769,00'45.047,00'29.391,1,2,10:41'23.906,01:11'23.906,243.99
28,,,B,04'36.067,03'04.573,00'22.322,00'46.000,00'23.172,1,2,10:45'59.973,01:15'59.973,241.31
29,,,B,02'03.207,00'34.390,00'21.032,00'45.117,00'22.668,1,1,10:48'03.180,01:18'03.180,241.98
30,,P,B,02'08.377,00'34.517,00'21.015,00'45.031,00'27.814,1,1,10:50'11.557,01:20'11.557,243.32
31,,,B,07'27.794,05'47.054,00'24.358,00'50.735,00'25.647,1,5,10:57'39.351,01:27'39.351,206.68
32,,,B,02'07.685,00'36.209,00'21.900,00'46.417,00'23.159,1,4,10:59'47.036,01:29'47.036,239.99
33,,,B,02'05.532,00'35.466,00'21.693,00'45.520,00'22.853,1,3,11:01'52.568,01:31'52.568,241.31
34,,,B,01'59.800,00'33.348,00'20.174,00'44.296,00'21.982,1,1,11:03'52.368,01:33'52.368,243.99
35,,,B,01'59.879,00'33.401,00'20.290,00'44.206,00'21.982,1,1,11:05'52.247,01:35'52.247,243.32
36,,P,B,02'07.848,00'34.458,00'21.046,00'45.070,00'27.274,1,1,11:08'00.095,01:38'00.095,241.98
