【Class:300  Car No:7  BMW Team Studie x CSL BMW  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,A,03'46.431,01'58.122,00'26.412,00'48.726,00'33.171,23,32,09:33'46.431,00:03'46.431,248.13
2,,,A,05'48.070,04'09.527,00'24.666,00'49.542,00'24.335,26,34,09:39'34.501,00:09'34.501,247.43
3,,,A,02'09.844,00'37.773,00'22.609,00'45.803,00'23.659,24,39,09:41'44.345,00:11'44.345,250.25
4,,,A,02'02.689,00'35.638,00'21.177,00'43.636,00'22.238,23,38,09:43'47.034,00:13'47.034,250.97
5,BL,,A,01'58.068,00'32.608,00'19.978,00'43.485,00'21.997,1,15,09:45'45.102,00:15'45.102,249.54
6,,P,A,02'05.012,00'33.454,00'20.480,00'44.041,00'27.037,9,20,09:47'50.114,00:17'50.114,249.54
7,,,A,07'38.485,06'10.545,00'20.981,00'44.748,00'22.211,25,37,09:55'28.599,00:25'28.599,248.83
8,,P,A,02'04.788,00'33.329,00'20.404,00'44.350,00'26.705,12,23,09:57'33.387,00:27'33.387,246.74
9,,,A,07'58.399,06'30.860,00'21.061,00'44.198,00'22.280,26,40,10:05'31.786,00:35'31.786,246.05
10,,P,A,02'06.222,00'33.610,00'20.700,00'44.263,00'27.649,15,25,10:07'38.008,00:37'38.008,247.43
11,,,B,07'18.591,05'51.521,00'20.677,00'44.284,00'22.109,24,37,10:14'56.599,00:44'56.599,245.36
12,,,B,02'01.282,00'33.931,00'20.782,00'44.384,00'22.185,7,16,10:16'57.881,00:46'57.881,247.43
13,,,B,02'00.709,00'33.602,00'20.390,00'44.440,00'22.277,8,22,10:18'58.590,00:48'58.590,247.43
14,,,B,02'01.055,00'33.595,00'20.377,00'45.006,00'22.077,8,20,10:20'59.645,00:50'59.645,246.05
15,,,B,02'01.134,00'33.985,00'20.542,00'44.467,00'22.140,5,17,10:23'00.779,00:53'00.779,247.43
16,,,B,02'01.056,00'33.724,00'20.497,00'44.481,00'22.354,7,18,10:25'01.835,00:55'01.835,246.74
17,,,B,02'01.850,00'33.926,00'20.591,00'45.043,00'22.290,8,20,10:27'03.685,00:57'03.685,248.13
18,,,B,02'01.481,00'33.855,00'20.678,00'44.459,00'22.489,8,17,10:29'05.166,00:59'05.166,248.83
19,,,B,02'01.739,00'34.214,00'20.539,00'44.778,00'22.208,7,18,10:31'06.905,01:01'06.905,248.83
20,,P,B,02'06.792,00'33.960,00'20.669,00'44.860,00'27.303,11,22,10:33'13.697,01:03'13.697,248.83
21,,,B,10'14.039,08'44.034,00'21.365,00'45.185,00'23.455,27,41,10:43'27.736,01:13'27.736,246.74
22,,,B,02'01.549,00'33.974,00'20.614,00'44.538,00'22.423,9,22,10:45'29.285,01:15'29.285,248.13
23,,,B,02'00.851,00'33.888,00'20.470,00'44.390,00'22.103,6,15,10:47'30.136,01:17'30.136,250.25
24,,P,B,02'10.762,00'34.208,00'20.865,00'45.311,00'30.378,21,33,10:49'40.898,01:19'40.898,249.54
25,,,A,03'21.886,01'53.176,00'20.927,00'45.000,00'22.783,23,35,10:53'02.784,01:23'02.784,248.13
26,,P,A,02'07.860,00'34.220,00'20.798,00'44.796,00'28.046,19,29,10:55'10.644,01:25'10.644,248.13
27,,,A,03'17.102,01'45.350,00'22.555,00'45.973,00'23.224,20,33,10:58'27.746,01:28'27.746,246.74
28,,,A,02'02.846,00'34.017,00'20.634,00'45.971,00'22.224,13,25,11:00'30.592,01:30'30.592,238.04
29,,,A,01'58.215,00'32.819,00'19.932,00'43.641,00'21.823,1,7,11:02'28.807,01:32'28.807,250.25
30,,,A,01'59.057,00'32.800,00'20.150,00'44.065,00'22.042,3,8,11:04'27.864,01:34'27.864,248.83
31,,P,B,04'13.732,02'33.857,00'20.612,00'44.237,00'35.026,15,22,11:08'41.596,01:38'41.596,249.54
