【Class:300  Car No:87  JLOC Lamborghini  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,12'30.039,10'49.758,00'25.121,00'49.343,00'25.817,27,42,09:42'30.039,00:12'30.039,182.99
2,,,A,02'02.941,00'35.168,00'20.684,00'44.394,00'22.695,1,4,09:44'32.980,00:14'32.980,246.74
3,,,A,01'58.897,00'33.286,00'20.021,00'43.572,00'22.018,4,18,09:46'31.877,00:16'31.877,248.13
4,,P,A,02'06.762,00'33.257,00'20.051,00'43.881,00'29.573,25,40,09:48'38.639,00:18'38.639,247.43
5,,,A,07'35.344,06'03.510,00'23.848,00'44.960,00'23.026,27,42,09:56'13.983,00:26'13.983,246.74
6,,,A,01'59.899,00'33.599,00'20.210,00'43.905,00'22.185,3,12,09:58'13.882,00:28'13.882,247.43
7,,P,A,02'10.889,00'35.424,00'23.088,00'45.488,00'26.889,17,27,10:00'24.771,00:30'24.771,247.43
8,,,A,07'54.305,06'26.722,00'20.838,00'44.393,00'22.352,26,37,10:08'19.076,00:38'19.076,246.05
9,,,A,01'59.493,00'33.352,00'20.075,00'43.964,00'22.102,4,13,10:10'18.569,00:40'18.569,245.36
10,,P,A,02'07.782,00'34.941,00'20.849,00'44.800,00'27.192,17,27,10:12'26.351,00:42'26.351,245.36
11,,,A,03'18.414,01'40.845,00'26.185,00'48.254,00'23.130,17,28,10:15'44.765,00:45'44.765,243.99
12,,,A,02'03.104,00'34.478,00'20.642,00'45.550,00'22.434,9,18,10:17'47.869,00:47'47.869,236.12
13,,,A,01'59.288,00'33.172,00'20.156,00'43.980,00'21.980,3,15,10:19'47.157,00:49'47.157,246.74
14,,P,A,02'07.627,00'34.984,00'21.095,00'44.469,00'27.079,17,28,10:21'54.784,00:51'54.784,246.05
15,,,B,05'41.680,04'11.553,00'21.283,00'45.569,00'23.275,22,33,10:27'36.464,00:57'36.464,244.67
16,,,B,02'02.242,00'34.319,00'20.808,00'44.692,00'22.423,10,19,10:29'38.706,00:59'38.706,245.36
17,,,B,02'01.483,00'33.707,00'20.583,00'44.591,00'22.602,5,15,10:31'40.189,01:01'40.189,247.43
18,,,B,02'01.268,00'33.452,00'20.698,00'44.748,00'22.370,4,11,10:33'41.457,01:03'41.457,248.13
19,,P,B,02'05.957,00'33.825,00'21.192,00'44.365,00'26.575,14,23,10:35'47.414,01:05'47.414,246.74
20,,,B,08'03.135,06'34.691,00'21.012,00'44.566,00'22.866,24,37,10:43'50.549,01:13'50.549,245.36
21,,,B,02'01.400,00'33.617,00'20.340,00'44.833,00'22.610,3,14,10:45'51.949,01:15'51.949,246.05
22,,,B,02'00.443,00'33.580,00'20.400,00'44.268,00'22.195,2,14,10:47'52.392,01:17'52.392,248.13
23,,,B,01'59.986,00'33.541,00'20.272,00'44.055,00'22.118,3,11,10:49'52.378,01:19'52.378,247.43
24,,P,B,02'06.275,00'33.702,00'20.399,00'44.453,00'27.721,13,23,10:51'58.653,01:21'58.653,246.74
25,,,B,07'31.657,05'50.225,00'25.219,00'50.354,00'25.859,23,35,10:59'30.310,01:29'30.310,236.12
26,,,B,02'05.241,00'35.708,00'21.399,00'45.047,00'23.087,11,20,11:01'35.551,01:31'35.551,
27,BL,,B,01'58.081,00'32.882,00'19.951,00'43.573,00'21.675,1,8,11:03'33.632,01:33'33.632,247.43
28,,P,B,02'05.485,00'32.987,00'20.039,00'43.854,00'28.605,14,22,11:05'39.117,01:35'39.117,247.43
