【Class:300  Car No:9  PACIFIC CARGUY Racing Ferrari  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,03'43.620,02'04.090,00'24.176,00'50.866,00'24.488,22,31,09:33'43.620,00:03'43.620,243.99
2,,,B,02'05.707,00'35.353,00'20.684,00'45.479,00'24.191,7,12,09:35'49.327,00:05'49.327,244.67
3,BL,,B,01'58.760,00'32.950,00'20.217,00'43.850,00'21.743,3,17,09:37'48.087,00:07'48.087,248.13
4,,,B,01'59.104,00'33.114,00'20.143,00'43.961,00'21.886,9,23,09:39'47.191,00:09'47.191,248.13
5,,P,B,02'09.392,00'34.250,00'21.689,00'45.688,00'27.765,21,36,09:41'56.583,00:11'56.583,222.94
6,,,A,05'35.625,04'01.864,00'23.949,00'46.046,00'23.766,18,29,09:47'32.208,00:17'32.208,243.99
7,,,A,02'07.099,00'36.025,00'22.501,00'45.320,00'23.253,11,21,09:49'39.307,00:19'39.307,246.74
8,,,A,02'04.983,00'35.488,00'21.237,00'45.001,00'23.257,13,24,09:51'44.290,00:21'44.290,246.05
9,,,A,02'03.431,00'34.684,00'21.001,00'44.972,00'22.774,12,24,09:53'47.721,00:23'47.721,246.74
10,,,A,02'03.152,00'34.549,00'20.981,00'44.818,00'22.804,9,17,09:55'50.873,00:25'50.873,246.74
11,,P,A,02'11.151,00'35.212,00'21.518,00'45.094,00'29.327,16,27,09:58'02.024,00:28'02.024,246.05
12,,,B,07'08.368,05'40.056,00'21.195,00'44.701,00'22.416,24,34,10:05'10.392,00:35'10.392,243.32
13,,,B,02'00.152,00'33.486,00'20.299,00'44.376,00'21.991,6,19,10:07'10.544,00:37'10.544,245.36
14,,,B,02'00.242,00'33.376,00'20.258,00'44.395,00'22.213,7,17,10:09'10.786,00:39'10.786,243.99
15,,,B,02'00.668,00'33.667,00'20.427,00'44.442,00'22.132,4,13,10:11'11.454,00:41'11.454,244.67
16,,P,B,02'06.172,00'33.750,00'20.817,00'44.825,00'26.780,12,19,10:13'17.626,00:43'17.626,243.99
17,,,A,05'32.685,03'58.335,00'22.540,00'45.807,00'26.003,14,22,10:18'50.311,00:48'50.311,241.98
18,,P,A,02'39.080,00'39.229,00'22.191,00'57.165,00'40.495,7,12,10:21'29.391,00:51'29.391,151.18
19,,P,B,15'42.310,14'10.182,00'20.853,00'44.818,00'26.457,21,32,10:37'11.701,01:07'11.701,242.65
20,,,A,03'35.272,01'54.025,00'25.563,00'50.471,00'25.213,16,25,10:40'46.973,01:10'46.973,161.17
21,,,A,02'03.147,00'34.645,00'20.995,00'44.682,00'22.825,7,16,10:42'50.120,01:12'50.120,243.99
22,,,A,02'04.182,00'35.054,00'21.218,00'45.082,00'22.828,9,19,10:44'54.302,01:14'54.302,244.67
23,,,A,02'02.654,00'34.377,00'20.839,00'44.689,00'22.749,8,14,10:46'56.956,01:16'56.956,246.05
24,,,A,02'03.339,00'34.546,00'21.243,00'44.909,00'22.641,10,18,10:49'00.295,01:19'00.295,246.05
25,,P,A,02'10.728,00'34.608,00'21.851,00'45.373,00'28.896,13,20,10:51'11.023,01:21'11.023,245.36
26,,,A,05'26.175,03'53.268,00'22.003,00'47.255,00'23.649,15,24,10:56'37.198,01:26'37.198,229.94
27,,,A,02'02.439,00'34.528,00'21.074,00'44.337,00'22.500,8,16,10:58'39.637,01:28'39.637,246.05
28,,,A,02'02.425,00'34.250,00'20.909,00'44.808,00'22.458,9,17,11:00'42.062,01:30'42.062,245.36
29,,,A,02'02.775,00'34.394,00'21.290,00'44.552,00'22.539,10,16,11:02'44.837,01:32'44.837,246.74
30,,,A,02'03.020,00'34.381,00'21.015,00'44.855,00'22.769,8,13,11:04'47.857,01:34'47.857,246.05
31,,P,A,02'12.117,00'36.181,00'22.312,00'45.287,00'28.337,11,15,11:06'59.974,01:36'59.974,244.67
