【Class:300  Car No:96  K-tunes Racing LEXUS  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,03'14.391,01'33.559,00'25.601,00'49.743,00'25.488,15,19,09:33'14.391,00:03'14.391,241.98
2,,,A,02'09.196,00'37.068,00'21.855,00'46.628,00'23.645,16,23,09:35'23.587,00:05'23.587,246.74
3,,,A,02'01.957,00'34.676,00'20.720,00'44.745,00'21.816,13,28,09:37'25.544,00:07'25.544,248.83
4,,,A,01'59.694,00'33.060,00'20.620,00'43.993,00'22.021,14,28,09:39'25.238,00:09'25.238,250.25
5,,,A,01'59.240,00'33.181,00'20.186,00'44.056,00'21.817,4,18,09:41'24.478,00:11'24.478,250.97
6,,P,A,02'06.376,00'33.956,00'21.165,00'44.281,00'26.974,12,23,09:43'30.854,00:13'30.854,250.25
7,,,A,07'04.212,05'31.222,00'23.868,00'46.041,00'23.081,22,34,09:50'35.066,00:20'35.066,247.43
8,,,A,02'05.040,00'35.279,00'21.717,00'45.096,00'22.948,15,26,09:52'40.106,00:22'40.106,246.74
9,,,A,02'01.281,00'34.204,00'21.154,00'44.083,00'21.840,9,20,09:54'41.387,00:24'41.387,249.54
10,BL,,A,01'58.505,00'32.765,00'20.053,00'43.677,00'22.010,2,10,09:56'39.892,00:26'39.892,249.54
11,,P,A,02'05.228,00'33.182,00'20.278,00'44.267,00'27.501,11,22,09:58'45.120,00:28'45.120,249.54
12,,,B,06'28.024,04'56.861,00'22.650,00'45.155,00'23.358,22,33,10:05'13.144,00:35'13.144,243.32
13,,,B,02'01.131,00'34.002,00'20.583,00'44.288,00'22.258,9,23,10:07'14.275,00:37'14.275,248.83
14,,,B,02'00.016,00'33.491,00'20.320,00'44.136,00'22.069,6,16,10:09'14.291,00:39'14.291,250.97
15,,P,B,02'10.530,00'33.280,00'20.345,00'44.216,00'32.689,18,28,10:11'24.821,00:41'24.821,251.69
16,,,B,05'59.580,04'29.753,00'21.855,00'45.467,00'22.505,18,27,10:17'24.401,00:47'24.401,242.65
17,,,B,01'59.653,00'33.242,00'20.156,00'44.033,00'22.222,1,9,10:19'24.054,00:49'24.054,248.83
18,,,B,02'01.313,00'33.338,00'20.355,00'45.194,00'22.426,1,6,10:21'25.367,00:51'25.367,250.25
19,,P,B,02'11.244,00'34.015,00'20.670,00'44.605,00'31.954,6,9,10:23'36.611,00:53'36.611,249.54
20,,,B,04'50.365,03'22.525,,,,7,9,10:28'26.976,00:58'26.976,248.83
21,,P,B,02'06.618,00'33.184,00'20.348,00'44.231,00'28.855,2,4,10:30'33.594,01:00'33.594,249.54
22,,,B,04'47.558,03'17.515,00'22.330,00'45.182,00'22.531,6,9,10:35'21.152,01:05'21.152,249.54
23,,P,B,02'08.424,00'33.543,00'20.509,00'44.751,00'29.621,6,8,10:37'29.576,01:07'29.576,248.83
24,,,B,09'24.165,07'55.426,00'21.006,00'45.235,00'22.498,13,21,10:46'53.741,01:16'53.741,247.43
25,,,B,02'01.555,00'33.638,00'20.644,00'44.818,00'22.455,6,12,10:48'55.296,01:18'55.296,248.83
26,,,B,02'01.938,00'34.220,00'20.787,00'44.597,00'22.334,5,9,10:50'57.234,01:20'57.234,246.05
27,,,B,02'01.789,00'33.861,00'20.689,00'44.838,00'22.401,6,11,10:52'59.023,01:22'59.023,248.83
28,,,B,02'01.719,00'33.939,00'20.712,00'44.746,00'22.322,4,10,10:55'00.742,01:25'00.742,248.83
29,,,B,02'02.031,00'33.847,00'20.527,00'45.167,00'22.490,5,10,10:57'02.773,01:27'02.773,249.54
30,,,B,02'01.931,00'33.989,00'20.767,00'44.743,00'22.432,1,6,10:59'04.704,01:29'04.704,250.25
31,,,B,02'02.437,00'34.349,00'20.870,00'44.827,00'22.391,3,7,11:01'07.141,01:31'07.141,249.54
32,,,B,02'02.175,00'33.951,00'20.953,00'44.757,00'22.514,4,7,11:03'09.316,01:33'09.316,250.25
33,,P,B,02'10.358,00'34.182,00'21.865,00'45.422,00'28.889,8,10,11:05'19.674,01:35'19.674,198.73
