Åyèáà ÉfÅ[É^Åz
ClassRank,Rank,Class,CarNo,Driver,CarName,Laps,LastLapTime,Time,TimeFired,PitCount,BestLapDriver,BestLapTime,BestLapLap,BestLapClassRank,BestLapRank,ClassGap,ClassInt,Gap,Int,Speed,BestLap(A),BestLap(B)
1,1,500,23,Tsugio Matsuda,NISMO,36,02'28.413,1:45'34.961,11:15'34.961,7,A,01'45.097,35,1,1,---,---,---,---,166.36,01'45.097,01'45.477
2,2,500,17,Koudai Tsukakoshi,Astemo REAL RACING,33,02'22.466,1:45'44.663,11:15'44.663,9,A,01'45.222,32,2,2,0.125,0.125,0.125,0.125,164.8,01'45.222,01'46.040
3,3,500,24,Daiki Sasaki,KONDO RACING,37,02'30.401,1:45'31.898,11:15'31.898,6,B,01'45.499,4,3,3,0.402,0.277,0.402,0.277,165.11,01'48.593,01'45.499
4,4,500,3,Mitsunori Takaboshi,NDDP RACING,18,02'10.716,1:43'56.839,11:13'56.839,5,A,01'46.150,4,4,4,1.053,0.651,1.053,0.651,268.62,01'46.150,01'59.508
5,5,500,36,Giuliano Alesi,TGR TEAM au TOM'S,32,01'55.890,1:44'05.940,11:14'05.940,6,A,01'46.151,4,5,5,1.054,0.001,1.054,0.001,266.99,01'46.151,01'50.002
6,6,500,37,Ritomo Miyata,TGR TEAM KeePer TOM'S,36,02'03.994,1:43'46.940,11:13'46.940,6,A,01'46.233,13,6,6,1.136,0.082,1.136,0.082,266.99,01'46.233,01'48.416
7,7,500,8,Tomoki Nojiri,ARTA,27,02'20.483,1:45'41.446,11:15'41.446,6,B,01'46.432,13,7,7,1.335,0.199,1.335,0.199,149.13,01'49.928,01'46.432
8,8,500,16,Toshiki Oyu,TEAM Red Bull MUGEN,29,02'22.967,1:44'47.446,11:14'47.446,8,A,01'46.513,9,8,8,1.416,0.081,1.416,0.081,128.98,01'46.513,01'48.702
9,9,500,64,Hiroki Otsu,Modulo Nakajima Racing,36,02'27.684,1:44'44.367,11:14'44.367,7,A,01'46.717,6,9,9,1.620,0.204,1.620,0.204,127.3,01'46.717,01'51.015
10,10,500,19,Yuji Kunimoto,TGR TEAM WedsSport BANDOH,29,01'57.767,1:43'20.233,11:13'20.233,7,A,01'46.804,28,10,10,1.707,0.087,1.707,0.087,267.8,01'46.804,01'47.949
11,11,500,12,Bertrand Baguette,TEAM IMPUL,31,02'19.487,1:45'36.606,11:15'36.606,8,A,01'46.811,4,11,11,1.714,0.007,1.714,0.007,134.72,01'46.811,01'49.534
12,12,500,39,Yuhi Sekiguchi,TGR TEAM SARD,30,02'33.191,1:44'51.811,11:14'51.811,5,A,01'46.892,6,12,12,1.795,0.081,1.795,0.081,170.56,01'46.892,01'49.883
13,13,500,38,Yuji Tachikawa,TGR TEAM ZENT CERUMO,28,01'57.964,1:41'01.226,11:11'01.226,6,B,01'47.078,7,13,13,1.981,0.186,1.981,0.186,263.78,01'50.438,01'47.078
14,14,500,100,Naoki Yamamoto,TEAM KUNIMITSU,29,02'41.592,1:45'22.403,11:15'22.403,7,B,01'47.333,14,14,14,2.236,0.255,2.236,0.255,128.79,01'49.239,01'47.333
15,15,500,14,Kenta Yamashita,TGR TEAM ENEOS ROOKIE,33,01'59.176,1:44'02.563,11:14'02.563,6,B,01'47.728,4,15,15,2.631,0.395,2.631,0.395,269.44,01'49.135,01'47.728

