Åyèáà ÉfÅ[É^Åz
ClassRank,Rank,Class,CarNo,Driver,CarName,Laps,LastLapTime,Time,TimeFired,PitCount,BestLapDriver,BestLapTime,BestLapLap,BestLapClassRank,BestLapRank,ClassGap,ClassInt,Gap,Int,Speed,BestLap(A),BestLap(B)
,,500,3,Katsumasa Chiyo,NDDP RACING,,,,,,,,,,,,,,,,,
,,500,8,Nirei Fukuzumi,ARTA,,,,,,,,,,,,,,,,,
,,500,12,Kazuki Hiramine,TEAM IMPUL,,,,,,,,,,,,,,,,,
,,500,14,Kenta Yamashita,TGR TEAM ENEOS ROOKIE,,,,,,,,,,,,,,,,,
,,500,16,Ukyo Sasahara,TEAM Red Bull MUGEN,,,,,,,,,,,,,,,,,
,,500,17,Koudai Tsukakoshi,Astemo REAL RACING,,,,,,,,,,,,,,,,,
,,500,19,Sena Sakaguchi,TGR TEAM WedsSport BANDOH,,,,,,,,,,,,,,,,,
,,500,23,Tsugio Matsuda,NISMO,,,,,,,,,,,,,,,,,
,,500,24,Kohei Hirate,KONDO RACING,,,,,,,,,,,,,,,,,
,,500,36,Sho Tsuboi,TGR TEAM au TOM'S,,,,,,,,,,,,,,,,,
,,500,37,Sacha Fenestraz,TGR TEAM KeePer TOM'S,,,,,,,,,,,,,,,,,
,,500,38,Hiroaki Ishiura,TGR TEAM ZENT CERUMO,,,,,,,,,,,,,,,,,
,,500,39,Yuhi Sekiguchi,TGR TEAM SARD,,,,,,,,,,,,,,,,,
,,500,64,Takuya Izawa,Modulo Nakajima Racing,,,,,,,,,,,,,,,,,
,,500,100,Naoki Yamamoto,TEAM KUNIMITSU,,,,,,,,,,,,,,,,,

ClassRank,Rank,Class,CarNo,Driver,CarName,Laps,LastLapTime,Time,TimeFired,PitCount,BestLapDriver,BestLapTime,BestLapLap,BestLapClassRank,BestLapRank,ClassGap,ClassInt,Gap,Int,Speed,BestLap(A),BestLap(B)
1,1,300,7,Seiji Ara,BMW Team Studie x CSL,5,02'32.242,12'20.794,15:07'20.794,1,A,01'57.179,4,1,1,---,---,---,---,234.86,01'57.179,
2,2,300,96,Morio Nitta,K-tunes Racing,5,02'41.536,11'40.835,15:06'40.835,1,A,01'57.297,3,2,2,0.118,0.118,0.118,0.118,187.69,01'57.297,
3,3,300,56,Joao Paulo Lima de Oliveira,KONDO RACING,4,02'23.083,10'32.670,15:05'32.670,1,B,01'57.337,3,3,3,0.158,0.040,0.158,0.040,247.43,,01'57.337
4,4,300,87,Natsu Sakaguchi,JLOC,4,02'21.713,10'37.607,15:05'37.607,1,B,01'57.632,3,4,4,0.453,0.295,0.453,0.295,201,,01'57.632
5,5,300,9,Kei Cozzolino,PACIFIC CARGUY Racing,4,02'11.738,10'16.197,15:05'16.197,1,B,01'57.670,3,5,5,0.491,0.038,0.491,0.038,246.05,,01'57.670
6,6,300,11,Keishi Ishikawa,GAINER,5,02'23.084,11'03.169,15:06'03.169,1,B,01'57.778,3,6,6,0.599,0.108,0.599,0.108,125.84,,01'57.778
7,7,300,50,Ryohei Sakaguchi,Arnage Racing,4,01'57.980,10'27.172,15:05'27.172,0,B,01'57.980,4,7,7,0.801,0.202,0.801,0.202,232.38,,01'57.980
8,8,300,60,Hiroki Yoshimoto,LM corsa,4,02'12.596,09'19.867,15:04'19.867,1,A,01'58.002,3,8,8,0.823,0.022,0.823,0.022,243.32,01'58.002,
9,9,300,52,Kohta Kawaai,SAITAMATOYOPET Green Brave,5,01'58.046,10'49.958,15:05'49.958,0,B,01'58.046,5,9,9,0.867,0.044,0.867,0.044,244.67,,01'58.046
10,10,300,20,Eijiro Shimizu,SHADE RACING,4,02'08.426,10'30.061,15:05'30.061,1,B,01'58.113,3,10,10,0.934,0.067,0.934,0.067,246.05,,01'58.113
11,11,300,34,Yuji Ide,BUSOU Drago CORSE,5,01'58.676,10'47.508,15:05'47.508,0,B,01'58.348,4,11,11,1.169,0.235,1.169,0.235,246.05,,01'58.348
12,12,300,18,Takashi Kobayashi,TEAM UPGARAGE,4,01'58.534,10'00.715,15:05'00.715,0,A,01'58.534,4,12,12,1.355,0.186,1.355,0.186,194.76,01'58.534,
13,13,300,31,Koki Saga,apr,5,01'59.824,11'16.444,15:06'16.444,0,A,01'59.824,5,13,13,2.645,1.290,2.645,1.290,237.4,01'59.824,
14,14,300,48,Taiyo Ida,NILZZ Racing,5,02'12.739,11'09.906,15:06'09.906,1,A,02'01.255,3,14,14,4.076,1.431,4.076,1.431,246.74,02'01.255,
,,300,2,Yuui Tsutsumi,muta Racing INGING,,,,,,,,,,,,,,,,,
,,300,4,Tatsuya Kataoka,GOODSMILE RACING & TeamUKYO,,,,,,,,,,,,,,,,,
,,300,5,Yusuke Tomibayashi,TEAM MACH,,,,,,,,,,,,,,,,,
,,300,6,Roberto Merhi Muntan,Team LeMans,,,,,,,,,,,,,,,,,
,,300,10,Ryuichiro Tomita,GAINER,,,,,,,,,,,,,,,,,
,,300,25,Seita Nonaka,HOPPY team TSUCHIYA,,,,,,,,,,,,,,,,,
,,300,30,Manabu Orido,apr,,,,,,,,,,,,,,,,,
,,300,55,Hideki Mutoh,ARTA,,,,,,,,,,,,,,,,,
,,300,61,Takuto Iguchi,R&D SPORT,,,,,,,,,,,,,,,,,
,,300,65,Naoya Gamou,K2 R&D LEON RACING,,,,,,,,,,,,,,,,,
,,300,88,Yuya Motojima,JLOC,,,,,,,,,,,,,,,,,
,,300,244,Kimiya Sato,Max Racing,,,,,,,,,,,,,,,,,
,,300,360,Yusaku Shibata,TOMEI SPORTS  ,,,,,,,,,,,,,,,,,
